ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"75.119.207.141","elite","AS26347","US","New Dream Network, LLC","191","New Dream Network, LLC","61438","socks5","5006","1","2023-08-27T07:49:42.548Z","100","3548","3550"
"54.36.26.122","elite","AS16276","FR","OVH SAS","6","OVH","80","socks5","4899","1","2023-08-27T07:49:37.840Z","100","3517","3517"
"69.163.161.58","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","26347","socks4","4412","1","2023-08-27T07:49:37.837Z","100","3571","3574"
"37.53.90.82","elite","AS6849","UA","UKRTELECOM","51","JSC Ukrtelecom","8010","socks4","4796","1","2023-08-27T07:49:37.940Z","61","2212","3598"
"104.22.37.236","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc","80","socks4","3193","1","2023-08-27T07:49:37.835Z","100","3544","3544"
"112.105.12.160","elite","AS18049","TW","TINP","293","Digital United Inc.","1111","socks5","4510","1","2023-08-27T07:49:37.845Z","85","3018","3571"
"218.2.112.243","elite","AS4134","CN","China Telecom","288","Nanjing Forest Police University","80","socks5","3806","17","2023-08-27T07:49:37.839Z","83","2971","3584"
"95.38.95.55","elite","AS41881","IR","Fanava Group","98","Fanava Group","9050","socks5","4686","1","2023-08-27T07:49:33.036Z","62","2165","3490"
"104.16.105.182","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc","80","socks4","4497","1","2023-08-27T07:49:32.939Z","100","3537","3538"
"14.207.24.72","elite","AS45629","TH","Triple T Broadband Public Company Limited","181","Triple T Broadband Public Company Limited","8080","socks5","4990","1","2023-08-27T07:49:32.938Z","87","3093","3550"
"118.67.216.94","elite","AS58923","BD","InterCloud Limited","172","InterCloud ltd","4145","socks4","2414","1","2023-08-27T07:49:32.851Z","96","3465","3596"
"103.35.108.206","elite","AS23991","BD","Ranks ITT","196","Ranks ITT Ltd.","4145","socks4","4604","1","2023-08-27T07:49:32.941Z","99","3586","3610"
"43.153.3.241","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","152","Tencent Cloud Computing","443","socks4","4788","1","2023-08-27T07:49:32.936Z","85","3028","3547"
